TIME BLOCK ANALYSIS - EFFICIENT SUMMARY
(50 blocks per day, focusing on key metrics)
====================================================================================================


====================================================================================================
DAY-BY-DAY SUMMARY: ASH_COATED_OSMIUM
====================================================================================================

Day    Trades     Volume       Avg/Trade    Price Range        VWAP         % Change    
28       537784-557676      14       77       9985-9999              +0.14%   6U/5D       
29       557676-577568      7        46       9999-10007             +0.08%   3U/2D       
30       577568-597460      3        16       9993-9999              +0.06%   1U/1D       
31       597460-617352      6        28       9996-10004             +0.08%   2U/2D       
32       617352-637244      4        22       10003-10007            +0.04%   2U/1D       
33       637244-657136      11       63       9989-9990              +0.01%   5U/4D       
34       657136-677028      10       43       9996-10003             +0.07%   4U/5D       
35       677028-696920      5        28       9985-9992              +0.07%   3U/1D       
36       696920-716812      11       56       9991-9998              +0.07%   4U/4D       
37       716812-736704      7        31       10006-9989             -0.17%   3U/3D       
38       736704-756596      6        29       10006-10004            -0.02%   2U/3D       
39       756596-776488      14       68       10004-9990             -0.14%   6U/5D       
40       776488-796380      9        39       9989-9987              -0.02%   3U/5D       
41       796380-816272      9        37       9986-10002             +0.16%   3U/5D       
42       816272-836164      11       62       9988-10011             +0.23%   5U/4D       
43       836164-856056      10       52       9995-9993              -0.02%   4U/5D       
44       856056-875948      5        25       9993-10013             +0.20%   2U/0D       
45       875948-895840      5        25       10013-10010            -0.03%   1U/2D       
46       895840-915732      9        43       9995-9993              -0.02%   4U/4D       
47       915732-935624      7        42       9994-10012             +0.18%   3U/3D       
48       935624-955516      8        44       9995-9995              +0.00%   2U/2D       
49       955516-975408      11       62       10010-9986             -0.24%   4U/5D       
50       975408-995300      7        32       9985-10001             +0.16%   3U/3D       

DAY -1
----------------------------------------------------------------------------------------------------
Block    Time Range           Trades   Vol      Price                Change     Momentum    
----------------------------------------------------------------------------------------------------
1         2800-22700      14       76       9985-10008             +0.23%   9U/3D       
2        22700-42600      5        28       10010-9992             -0.18%   1U/3D       
3        42600-62500      14       64       10008-9991             -0.17%   7U/6D       
4        62500-82400      9        38       9991-10011             +0.20%   3U/3D       
5        82400-102300      7        36       10010-9988             -0.22%   2U/3D       
6        102300-122200      4        23       9992-9991              -0.01%   1U/1D       
7        122200-142100      10       52       10008-9991             -0.17%   4U/4D       
8        142100-162000      12       72       10009-9993             -0.16%   7U/4D       
9        162000-181900      3        10       9989-9992              +0.03%   1U/1D       
10       181900-201800      6        34       9994-9994              +0.00%   2U/2D       
11       201800-221700      10       54       9991-10011             +0.20%   5U/4D       
12       221700-241600      8        40       10011-10012            +0.01%   4U/2D       
13       241600-261500      9        50       10010-9992             -0.18%   3U/3D       
14       261500-281400      11       51       9994-10008             +0.14%   4U/4D       
15       281400-301300      5        33       10007-9986             -0.21%   0U/3D       
16       301300-321200      12       75       9993-10013             +0.20%   6U/5D       
17       321200-341100      10       48       9999-10015             +0.16%   3U/3D       
18       341100-361000      13       72       10013-9992             -0.21%   5U/6D       
19       361000-380900      8        53       9993-9996              +0.03%   3U/2D       
20       380900-400800      8        39       9996-10015             +0.19%   5U/1D       
21       400800-420700      9        53       10010-10009            -0.01%   3U/4D       
22       420700-440600      12       59       9994-9998              +0.04%   5U/5D       
23       440600-460500      2        9        9997-10014             +0.17%   1U/0D       
24       460500-480400      3        21       9993-9993              +0.00%   1U/1D       
25       480400-500300      10       51       10009-10011            +0.02%   4U/4D       
26       500300-520200      7        31       9994-10012             +0.18%   3U/2D       
27       520200-540100      9        46       9995-10006             +0.11%   4U/2D       
28       540100-560000      5        27       10007-10005            -0.02%   2U/2D       
29       560000-579900      8        29       9989-10008             +0.19%   4U/2D       
30       579900-599800      9        49       9989-9990              +0.01%   3U/3D       
31       599800-619700      5        26       10008-10010            +0.02%   2U/1D       
32       619700-639600      6        30       9994-10013             +0.19%   2U/0D       
33       639600-659500      11       65       9996-10016             +0.20%   5U/2D       
34       659500-679400      12       58       10001-9999             -0.02%   5U/5D       
35       679400-699300      7        42       10017-9995             -0.22%   3U/3D       
36       699300-719200      12       61       9996-9994              -0.02%   6U/5D       
37       719200-739100      7        46       9991-9986              -0.05%   2U/2D       
38       739100-759000      9        45       10005-9985             -0.20%   3U/3D       
39       759000-778900      10       56       10001-10009            +0.08%   4U/5D       
40       778900-798800      3        14       9992-10003             +0.11%   1U/1D       
41       798800-818700      3        16       9988-9986              -0.02%   0U/1D       
42       818700-838600      8        32       9988-10005             +0.17%   3U/2D       
43       838600-858500      7        31       9988-9989              +0.01%   3U/2D       
44       858500-878400      10       55       9990-9992              +0.02%   2U/3D       
45       878400-898300      10       59       10012-10009            -0.03%   3U/5D       
46       898300-918200      13       73       10008-9990             -0.18%   6U/5D       
47       918200-938100      13       50       10005-10006            +0.01%   5U/6D       
48       938100-958000      15       82       10006-9995             -0.11%   7U/5D       
49       958000-977900      5        19       10015-9994             -0.21%   1U/3D       
50       977900-997800      9        56       10012-9994             -0.18%   2U/3D       

DAY 0
----------------------------------------------------------------------------------------------------
Block    Time Range           Trades   Vol      Price                Change     Momentum    
----------------------------------------------------------------------------------------------------
1         6300-26142      15       94       10009-10008            -0.01%   4U/8D       
2        26142-45984      8        53       10009-9993             -0.16%   3U/3D       
3        45984-65826      10       49       9992-10005             +0.13%   5U/3D       
4        65826-85668      6        28       10005-10008            +0.03%   2U/3D       
5        85668-105510      4        26       9991-10008             +0.17%   2U/1D       
6        105510-125352      6        30       10010-10002            -0.08%   2U/2D       
7        125352-145194      6        25       9999-10010             +0.11%   4U/1D       
8        145194-165036      4        21       9991-9999              +0.08%   2U/0D       
9        165036-184878      9        41       10016-10001            -0.15%   2U/5D       
10       184878-204720      8        31       10015-9996             -0.19%   2U/3D       
11       204720-224562      12       77       10010-10009            -0.01%   5U/5D       
12       224562-244404      9        55       9992-9986              -0.06%   3U/5D       
13       244404-264246      11       57       9986-10007             +0.21%   4U/3D       
14       264246-284088      9        46       10010-9992             -0.18%   2U/6D       
15       284088-303930      9        53       9997-10010             +0.13%   4U/4D       
16       303930-323772      8        53       9999-9995              -0.04%   2U/4D       
17       323772-343614      6        42       9993-9995              +0.02%   2U/3D       
18       343614-363456      5        20       10009-10010            +0.01%   2U/1D       
19       363456-383298      8        47       10012-9994             -0.18%   2U/3D       
20       383298-403140      10       60       10009-10012            +0.03%   3U/3D       
21       403140-422982      10       46       9993-10009             +0.16%   6U/3D       
22       422982-442824      12       65       9993-10003             +0.10%   7U/3D       
23       442824-462666      4        24       10010-9998             -0.12%   0U/2D       
24       462666-482508      6        29       10014-10008            -0.06%   1U/2D       
25       482508-502350      8        41       9988-9992              +0.04%   3U/4D       
26       502350-522192      7        30       10011-10015            +0.04%   3U/3D       
27       522192-542034      12       54       9998-10021             +0.23%   6U/3D       
28       542034-561876      9        50       10007-10019            +0.12%   4U/3D       
29       561876-581718      13       69       10000-10000            +0.00%   6U/4D       
30       581718-601560      6        34       9998-10014             +0.16%   3U/2D       
31       601560-621402      9        52       10015-9994             -0.21%   3U/5D       
32       621402-641244      14       61       10014-9996             -0.18%   8U/5D       
33       641244-661086      7        36       9999-9984              -0.15%   3U/3D       
34       661086-680928      9        49       9999-9987              -0.12%   5U/3D       
35       680928-700770      9        50       9983-9997              +0.14%   2U/4D       
36       700770-720612      4        19       9998-9997              -0.01%   1U/1D       
37       720612-740454      10       57       9997-9981              -0.16%   2U/5D       
38       740454-760296      9        46       9984-10006             +0.22%   3U/2D       
39       760296-780138      9        53       9990-9988              -0.02%   3U/5D       
40       780138-799980      14       67       9987-10006             +0.19%   9U/3D       
41       799980-819822      12       49       10006-9994             -0.12%   4U/5D       
42       819822-839664      3        22       9995-10012             +0.17%   1U/0D       
43       839664-859506      6        30       10012-9992             -0.20%   2U/3D       
44       859506-879348      8        32       9992-9988              -0.04%   3U/4D       
45       879348-899190      9        40       9992-9989              -0.03%   3U/5D       
46       899190-919032      2        14       10011-10006            -0.05%   0U/1D       
47       919032-938874      11       54       10003-10015            +0.12%   4U/6D       
48       938874-958716      4        26       10014-10019            +0.05%   2U/1D       
49       958716-978558      4        14       10004-10018            +0.14%   1U/2D       
50       978558-998400      8        37       10000-9999             -0.01%   2U/4D       


====================================================================================================
DAY-BY-DAY SUMMARY: INTARIAN_PEPPER_ROOT
====================================================================================================

Day    Trades     Volume       Avg/Trade    Price Range        VWAP         % Change    
----------------------------------------------------------------------------------------------------
-2     344        1745         5.1          9995-10994         10490.48           +9.97%
-1     335        1757         5.2          10995-12005        11496.66           +9.15%
0      332        1728         5.2          11998-13005        12519.79           +8.31%


====================================================================================================
TIME BLOCK ANALYSIS: INTARIAN_PEPPER_ROOT
====================================================================================================

DAY -2
----------------------------------------------------------------------------------------------------
Block    Time Range           Trades   Vol      Price                Change     Momentum    
----------------------------------------------------------------------------------------------------
1         1000-20930      7        38       9995-10026             +0.31%   5U/0D       
2        20930-40860      10       48       10027-10033            +0.06%   4U/4D       
3        40860-60790      8        44       10037-10060            +0.23%   4U/1D       
4        60790-80720      5        26       10066-10079            +0.13%   2U/2D       
5        80720-100650      6        30       10083-10101            +0.18%   3U/2D       
6        100650-120580      4        25       10096-10114            +0.18%   2U/1D       
7        120580-140510      6        30       10129-10139            +0.10%   3U/2D       
8        140510-160440      8        35       10136-10156            +0.20%   3U/3D       
9        160440-180370      4        14       10171-10175            +0.04%   1U/2D       
10       180370-200300      6        30       10190-10199            +0.09%   4U/1D       
11       200300-220230      13       69       10197-10214            +0.17%   6U/4D       
12       220230-240160      9        49       10218-10244            +0.25%   6U/2D       
13       240160-260090      7        39       10247-10249            +0.02%   2U/4D       
14       260090-280020      5        24       10265-10270            +0.05%   2U/2D       
15       280020-299950      8        41       10277-10291            +0.14%   4U/3D       
16       299950-319880      5        27       10310-10311            +0.01%   2U/2D       
17       319880-339810      6        33       10317-10342            +0.24%   4U/1D       
18       339810-359740      13       78       10348-10360            +0.12%   5U/7D       
19       359740-379670      4        20       10356-10383            +0.26%   3U/0D       
20       379670-399600      7        34       10388-10390            +0.02%   3U/3D       
21       399600-419530      8        39       10394-10425            +0.30%   5U/2D       
22       419530-439460      4        23       10422-10441            +0.18%   2U/1D       
23       439460-459390      3        18       10439-10452            +0.12%   2U/0D       
24       459390-479320      8        39       10467-10481            +0.13%   4U/1D       
25       479320-499250      3        16       10490-10486            -0.04%   1U/1D       
26       499250-519180      9        40       10507-10509            +0.02%   4U/4D       
27       519180-539110      10       57       10515-10540            +0.24%   7U/2D       
28       539110-559040      6        40       10546-10559            +0.12%   4U/1D       
29       559040-578970      5        25       10567-10570            +0.03%   2U/2D       
30       578970-598900      8        39       10589-10592            +0.03%   3U/4D       
31       598900-618830      10       46       10596-10610            +0.13%   3U/6D       
32       618830-638760      6        26       10631-10642            +0.10%   3U/2D       
33       638760-658690      9        42       10631-10652            +0.20%   4U/4D       
34       658690-678620      6        27       10655-10682            +0.25%   3U/2D       
35       678620-698550      5        23       10679-10704            +0.23%   3U/1D       
36       698550-718480      6        27       10707-10712            +0.05%   2U/3D       
37       718480-738410      6        36       10714-10732            +0.17%   4U/1D       
38       738410-758340      8        31       10737-10762            +0.23%   4U/2D       
39       758340-778270      6        35       10763-10771            +0.07%   3U/2D       
40       778270-798200      14       66       10784-10806            +0.20%   10U/3D      
41       798200-818130      5        24       10794-10814            +0.19%   3U/1D       
42       818130-838060      4        16       10813-10829            +0.15%   2U/1D       
43       838060-857990      9        46       10846-10860            +0.13%   3U/5D       
44       857990-877920      6        29       10859-10881            +0.20%   4U/1D       
45       877920-897850      5        22       10875-10891            +0.15%   2U/1D       
46       897850-917780      12       64       10905-10907            +0.02%   6U/5D       
47       917780-937710      5        26       10930-10928            -0.02%   3U/1D       
48       937710-957640      8        42       10941-10952            +0.10%   4U/2D       
49       957640-977570      4        20       10971-10980            +0.08%   2U/1D       
50       977570-997500      5        27       10985-10992            +0.06%   2U/2D       

DAY -1
----------------------------------------------------------------------------------------------------
Block    Time Range           Trades   Vol      Price                Change     Momentum    
----------------------------------------------------------------------------------------------------
1         3000-22906      5        29       10999-11011            +0.11%   2U/2D       
2        22906-42812      14       69       11030-11049            +0.17%   8U/5D       
3        42812-62718      3        13       11039-11049            +0.09%   2U/0D       
4        62718-82624      8        44       11067-11088            +0.19%   4U/1D       
5        82624-102530      7        35       11089-11097            +0.07%   3U/2D       
6        102530-122436      4        19       11115-11128            +0.12%   2U/1D       
7        122436-142342      15       87       11117-11147            +0.27%   8U/4D       
8        142342-162248      4        23       11153-11165            +0.11%   2U/1D       
9        162248-182154      3        18       11176-11185            +0.08%   1U/1D       
10       182154-202060      4        24       11188-11185            -0.03%   1U/1D       
11       202060-221966      4        19       11214-11225            +0.10%   2U/1D       
12       221966-241872      6        27       11217-11244            +0.24%   3U/2D       
13       241872-261778      5        32       11249-11265            +0.14%   3U/1D       
14       261778-281684      8        46       11258-11272            +0.12%   5U/1D       
15       281684-301590      6        37       11285-11297            +0.11%   4U/1D       
16       301590-321496      6        33       11299-11317            +0.16%   3U/2D       
17       321496-341402      4        17       11318-11344            +0.23%   3U/0D       
18       341402-361308      4        16       11347-11366            +0.17%   2U/1D       
19       361308-381214      7        39       11357-11387            +0.26%   4U/1D       
20       381214-401120      6        36       11390-11394            +0.04%   2U/2D       
21       401120-421026      9        53       11411-11414            +0.03%   5U/3D       
22       421026-440932      9        46       11415-11430            +0.13%   5U/3D       
23       440932-460838      6        34       11450-11464            +0.12%   2U/1D       
24       460838-480744      5        28       11458-11473            +0.13%   3U/1D       
25       480744-500650      10       46       11478-11507            +0.25%   6U/3D       
26       500650-520556      12       66       11510-11513            +0.03%   6U/4D       
27       520556-540462      8        40       11517-11541            +0.21%   5U/1D       
28       540462-560368      7        31       11549-11558            +0.08%   3U/3D       
29       560368-580274      4        26       11558-11570            +0.10%   2U/1D       
30       580274-600180      6        36       11590-11606            +0.14%   4U/1D       
31       600180-620086      5        23       11596-11611            +0.13%   3U/1D       
32       620086-639992      9        47       11614-11642            +0.24%   5U/3D       
33       639992-659898      7        35       11644-11655            +0.09%   4U/2D       
34       659898-679804      6        30       11657-11668            +0.09%   3U/2D       
35       679804-699710      8        38       11689-11690            +0.01%   5U/2D       
36       699710-719616      8        44       11709-11713            +0.03%   3U/3D       
37       719616-739522      7        32       11715-11730            +0.13%   5U/1D       
38       739522-759428      7        26       11741-11765            +0.20%   4U/2D       
39       759428-779334      10       46       11767-11772            +0.04%   5U/4D       
40       779334-799240      7        43       11777-11799            +0.19%   3U/3D       
41       799240-819146      5        29       11799-11812            +0.11%   2U/1D       
42       819146-839052      6        38       11811-11828            +0.14%   3U/2D       
43       839052-858958      6        30       11849-11853            +0.03%   3U/1D       
44       858958-878864      9        53       11863-11877            +0.12%   4U/3D       
45       878864-898770      6        30       11875-11901            +0.22%   5U/0D       
46       898770-918676      5        26       11904-11921            +0.14%   3U/1D       
47       918676-938582      4        12       11925-11934            +0.08%   2U/1D       
48       938582-958488      9        44       11935-11964            +0.24%   5U/3D       
49       958488-978394      6        31       11966-11970            +0.03%   2U/2D       
50       978394-998300      6        31       11991-12005            +0.12%   3U/2D       

DAY 0
----------------------------------------------------------------------------------------------------
Block    Time Range           Trades   Vol      Price                Change     Momentum    
----------------------------------------------------------------------------------------------------
1          200-20164      6        33       12007-12015            +0.07%   4U/1D       
2        20164-40128      10       44       12018-12033            +0.12%   7U/2D       
3        40128-60092      4        21       12036-12063            +0.22%   3U/0D       
4        60092-80056      8        40       12069-12073            +0.03%   4U/3D       
5        80056-100020      6        31       12088-12103            +0.12%   3U/1D       
6        100020-119984      6        37       12107-12125            +0.15%   4U/1D       
7        119984-139948      4        22       12119-12133            +0.12%   2U/1D       
8        139948-159912      9        51       12145-12153            +0.07%   3U/4D       
9        159912-179876      4        18       12177-12170            -0.06%   1U/2D       
10       179876-199840      7        38       12189-12192            +0.02%   3U/2D       
11       199840-219804      5        29       12213-12223            +0.08%   2U/1D       
12       219804-239768      6        33       12231-12231            +0.00%   2U/2D       
13       239768-259732      9        49       12234-12263            +0.24%   5U/3D       
14       259732-279696      8        45       12256-12284            +0.23%   5U/1D       
15       279696-299660      6        39       12276-12292            +0.13%   2U/2D       
16       299660-319624      6        29       12294-12313            +0.15%   4U/1D       
17       319624-339588      4        18       12328-12322            -0.05%   0U/2D       
18       339588-359552      7        39       12347-12349            +0.02%   2U/2D       
19       359552-379516      9        45       12369-12386            +0.14%   5U/3D       
20       379516-399480      6        31       12372-12405            +0.27%   4U/1D       
21       399480-419444      3        15       12391-12405            +0.11%   2U/0D       
22       419444-439408      4        20       12424-12427            +0.02%   1U/2D       
23       439408-459372      7        44       12438-12454            +0.13%   3U/2D       
24       459372-479336      5        25       12453-12474            +0.17%   2U/1D       
25       479336-499300      7        27       12487-12489            +0.02%   4U/2D       
26       499300-519264      6        37       12520-12510            -0.08%   2U/2D       
27       519264-539228      6        34       12530-12545            +0.12%   2U/3D       
28       539228-559192      5        24       12550-12550            +0.00%   2U/2D       
29       559192-579156      4        22       12557-12582            +0.20%   3U/0D       
30       579156-599120      5        17       12575-12585            +0.08%   2U/2D       
31       599120-619084      7        43       12615-12614            -0.01%   4U/2D       
32       619084-639048      8        36       12627-12628            +0.01%   3U/4D       
33       639048-659012      7        42       12643-12664            +0.17%   3U/2D       
34       659012-678976      8        38       12667-12680            +0.10%   3U/3D       
35       678976-698940      7        37       12673-12700            +0.21%   3U/2D       
36       698940-718904      2        7        12707-12708            +0.01%   1U/0D       
37       718904-738868      5        28       12716-12732            +0.13%   2U/2D       
38       738868-758832      6        32       12742-12751            +0.07%   3U/1D       
39       758832-778796      6        31       12754-12778            +0.19%   3U/2D       
40       778796-798760      8        42       12777-12808            +0.24%   5U/2D       
41       798760-818724      6        33       12789-12822            +0.26%   3U/2D       
42       818724-838688      8        43       12826-12828            +0.02%   5U/2D       
43       838688-858652      9        39       12842-12846            +0.03%   6U/2D       
44       858652-878616      8        41       12865-12882            +0.13%   5U/2D       
45       878616-898580      7        34       12871-12890            +0.15%   4U/2D       
46       898580-918544      9        51       12895-12920            +0.19%   4U/4D       
47       918544-938508      10       50       12915-12931            +0.12%   6U/2D       
48       938508-958472      10       54       12943-12965            +0.17%   5U/3D       
49       958472-978436      9        40       12955-12969            +0.11%   4U/3D       
50       978436-998400      10       50       12972-13005            +0.25%   5U/3D       

